application_id;client_id;equifax_id;reporting_dt;account_uid;fund_date;trade_owner_indic;trade_opened_dt;trade_trade_type_code;trade_loan_kind_code;trade_acct_type1;trade_is_consumer_loan;trade_has_card;trade_is_novation;trade_is_money_source;trade_close_dt;account_amt_credit_limit;account_amt_currency_code;account_amt_ensured_amt;coborrower_has_solidary;coborrower_solidary_num;paymnt_condition_principal_terms_amt;paymnt_condition_principal_terms_amt_dt;paymnt_condition_interest_terms_amt;paymnt_condition_interest_terms_amt_dt;paymnt_condition_terms_frequency;paymnt_condition_min_paymt;paymnt_condition_grace_start_dt;paymnt_condition_grace_end_dt;paymnt_condition_interest_payment_due_date;overall_val_credit_total_amt;overall_val_credit_total_monetary_amt;overall_val_credit_total_amt_date;month_aver_paymt_aver_paymt_amt;month_aver_paymt_calc_date;has_collaterals;has_guarantees;has_indie_guarantees;collat_insured_insur_sign;collat_insured_insur_limit;collat_insured_currency_code;collat_insured_has_franchise;collat_insured_insur_start_dt;collat_insured_insur_end_dt;collat_insured_insur_fact_end_dt;collat_insured_insur_end_reason;colat_repaid;collat_repay_code;collat_repay_dt;collat_repay_amt;loan_indicator;loan_indicator_dt;legal_items_has_legal_dispute;legal_items_court_act_dt;legal_items_court_act_effect_code;hold_code;hold_dt;file_since_dt;last_updated_dt;last_uploaded_dt;arrear_sign;arrear_start_amt_outstanding;arrear_last_payment_due_code;arrear_amt_outstanding;arrear_principal_outstanding;arrear_int_outstanding;arrear_other_amt_outstanding;arrear_calc_date;arrear_unconfirm_grace;due_arrear_start_dt;due_arrear_last_payment_due_code;due_arrear_amt_outstanding;due_arrear_principal_outstanding;due_arrear_int_outstanding;due_arrear_other_amtoutstanding;due_arrear_calc_date;past_due_dt;past_due_last_payment_due_code;past_due_amt_past_due;past_due_principal_amt_past_due;past_due_int_amt_past_due;past_due_other_amt_past_due;past_due_calc_date;past_due_principal_missed_date;past_due_int_missed_date;delay5;delay30;delay60;delay90;delay_more;cred_max_overdue;attr_value
52519724;16022054;10083413;2023-08-26;140386094674419930;2023-06-30;1.0;2023-06-26;1.0;4.0;19;1.0;1.0;0.0;1.0;2260-12-31;60000.0;RUB;;0.0;;0.0;;;;;;;;;36.238;18469.94;2023-08-16;0.0;2023-08-22;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-06-26;2023-08-22;2023-08-24;1.0;60000.0;1.0;60000.0;60000.0;0.0;0.0;2023-08-22;0.0;2023-06-30;1.0;60000.0;60000.0;0.0;0.0;2023-08-22;;1.0;0.0;;;;2023-08-22;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;758622595149388214;2023-08-08;1.0;2023-08-08;1.0;3.0;19;1.0;1.0;0.0;1.0;2023-10-09;12000.0;RUB;;0.0;;5338.0;2023-09-08;2976.0;2023-09-08;3.0;;2023-08-08;2023-08-15;2023-10-09;291.99;4628.0;2023-08-08;5542.67;2023-08-08;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-08;2023-08-08;2023-08-10;1.0;12000.0;0.0;12000.0;12000.0;0.0;0.0;2023-08-08;0.0;2023-08-08;0.0;12000.0;12000.0;0.0;0.0;2023-08-08;;0.0;0.0;;;;2023-08-08;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;352308113473741291;2023-08-08;1.0;2023-08-08;1.0;3.0;99;1.0;1.0;0.0;1.0;2023-09-07;13000.0;RUB;;0.0;;13000.0;2023-09-07;104.0;2023-09-07;7.0;;;;2023-09-07;292.0;3120.0;2023-08-08;13000.0;2023-08-08;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-08;2023-08-08;2023-08-10;1.0;13000.0;1.0;13000.0;13000.0;0.0;0.0;2023-08-08;;2023-08-08;1.0;13000.0;13000.0;0.0;0.0;2023-08-08;;1.0;0.0;;;;2023-08-08;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;986723476463596620;2017-02-02;1.0;2017-02-02;1.0;5.0;19;1.0;1.0;0.0;0.0;2019-10-23;205000.0;RUB;;0.0;;;;;;;;;;;29.965;;2019-10-23;;;0.0;0.0;0.0;;;;;;;;;0.0;;;;1.0;2019-10-23;;;;;;2017-02-05;2019-10-23;2020-08-27;0.0;100000.0;1.0;0.0;0.0;0.0;0.0;2019-10-23;;;1.0;0.0;0.0;0.0;0.0;2019-10-23;;1.0;0.0;0.0;0.0;0.0;2019-10-23;;;1;1;0;0;0;900.0;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000100000000000000000000020000
52519724;16022054;10083413;2023-08-26;817605275906152653;2023-08-03;1.0;2023-08-03;1.0;3.0;19;1.0;1.0;0.0;1.0;2023-10-21;49720.0;RUB;;0.0;;9586.91;2023-09-06;5498.09;2023-09-06;2.0;;;;2023-10-21;291.907;15757.65;2023-08-22;15272.0;2023-08-22;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-03;2023-08-22;2023-08-25;1.0;49720.0;1.0;45817.44;45817.44;0.0;0.0;2023-08-22;;2023-08-03;1.0;45817.44;45817.44;0.0;0.0;2023-08-22;;1.0;0.0;;;;2023-08-22;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;391123200036459725;2023-08-08;1.0;2023-08-08;1.0;3.0;19;1.0;0.0;0.0;;2023-09-07;15000.0;RUB;;0.0;;15000.0;2023-09-07;3600.0;2023-09-07;1.0;;;;2023-09-07;292.0;3600.0;2023-08-08;15120.0;2023-08-08;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-08;2023-08-08;2023-08-10;1.0;15000.0;1.0;15120.0;15000.0;120.0;0.0;2023-08-08;;2023-08-08;1.0;15120.0;15000.0;120.0;0.0;2023-08-08;;1.0;0.0;;;;2023-08-08;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;366559331336826709;2023-06-14;1.0;2023-06-14;1.0;1.0;19;1.0;1.0;0.0;1.0;2024-05-31;20700.0;RUB;;0.0;;1511.44;2023-09-01;645.41;2023-09-01;3.0;;;;2024-05-31;43.385;4758.86;2023-06-14;1750.0;2023-08-01;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-06-14;2023-08-01;2023-08-08;1.0;20700.0;1.0;17509.48;17509.48;0.0;0.0;2023-08-01;0.0;2023-06-14;1.0;17509.48;17509.48;0.0;0.0;2023-08-01;;1.0;0.0;;;;2023-08-01;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;572486359847071047;2023-08-08;1.0;2023-08-08;1.0;3.0;99;1.0;0.0;0.0;1.0;2023-09-06;7000.0;RUB;;0.0;;0.0;;0.0;;;;;;;292.0;2625.0;2023-08-08;7000.0;2023-08-08;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-08;2023-08-08;2023-08-09;1.0;7000.0;0.0;7000.0;7000.0;0.0;0.0;2023-08-08;;2023-08-08;0.0;7000.0;7000.0;0.0;0.0;2023-08-08;;0.0;0.0;;;;2023-08-08;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;302455557211415149;2023-08-08;1.0;2023-08-08;1.0;3.0;19;1.0;1.0;0.0;1.0;2023-09-07;9000.0;RUB;;0.0;;9000.0;2023-09-07;0.0;2023-09-07;7.0;;;;2023-09-07;292.0;2160.0;2023-08-08;11160.0;2023-08-08;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-08;2023-08-08;2023-08-10;1.0;9000.0;1.0;9000.0;9000.0;0.0;0.0;2023-08-08;;2023-08-08;1.0;9000.0;9000.0;0.0;0.0;2023-08-08;;1.0;0.0;;;;2023-08-08;;;0;0;0;0;0;0.0;0
52519724;16022054;10083413;2023-08-26;990873270870108048;2023-08-25;1.0;2023-08-25;1.0;3.0;16.3;1.0;1.0;0.0;1.0;2024-02-21;15000.0;RUB;;0.0;;1319.38;2023-09-25;3650.62;2023-09-25;3.0;;;;2024-02-21;286.388;14818.0;2023-08-25;4970.0;2023-08-25;0.0;0.0;0.0;;;;;;;;;0.0;;;;;;;;;;;2023-08-25;2023-08-25;2023-08-26;1.0;15000.0;1.0;15000.0;15000.0;0.0;0.0;2023-08-25;;2023-08-25;1.0;15000.0;15000.0;0.0;0.0;2023-08-25;;1.0;0.0;;;;2023-08-25;;;0;0;0;0;0;0.0;0
